상가업소번호	상호명	상권업종대분류명	상권업종중분류명	상권업종소분류명	지번주소	도로명	구우편번호	신우편번호	경도	위도
3323083	인타임카페	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강서구 마곡동 793-3	서울특별시 강서구 강서로	157210	7794	126.8389312	37.56215704
3148875	위니비니영풍문고김포공항점영풍문고김포공항점	음식	제과제빵떡케익	제과점	서울특별시 강서구 방화동 886	서울특별시 강서구 하늘길	157220	7505	126.80076	37.56595623
3779566	쎄리오	음식	커피점/카페	커피전문점/카페/다방	서울특별시 성동구 행당동 15-1	서울특별시 성동구 마조로	133070	4763	127.0413247	37.5594688
3565940	롯데리아	음식	패스트푸드	패스트푸드	서울특별시 송파구 신천동 29	서울특별시 송파구 올림픽로	138240	5551	127.1042839	37.51363101
3729445	홈플러스	음식	제과제빵떡케익	제과점	서울특별시 은평구 구산동 1-24	서울특별시 은평구 서오릉로	122819	3412	126.9164551	37.61127953
4451292	델리푸드-B	음식	분식	라면김밥분식	서울특별시 광진구 자양동 227-7	서울특별시 광진구 아차산로	143730	5065	127.0729442	37.53699681
3660193	홈플러스	음식	분식	라면김밥분식	서울특별시 강서구 등촌동 639-11	서울특별시 강서구 화곡로	157030	7567	126.8548002	37.55845562
7079815	공차트윈시티점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 용산구 동자동 56	서울특별시 용산구 한강대로	140170	4323	126.9728948	37.55108128
7140106	커피앳웍스트윈시티남산점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 용산구 동자동 56	서울특별시 용산구 한강대로	140170	4323	126.9728948	37.55108128
6633325	델프레소	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강북구 수유동 404-9	서울특별시 강북구 삼양로	142070	1082	127.0173794	37.63660816
4688869	하나원병과	음식	커피점/카페	커피전문점/카페/다방	서울특별시 중구 신당동 340-123	서울특별시 중구 다산로14길	100450	4590	127.0122473	37.55603941
5133712	스타벅스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 삼성동 159	서울특별시 강남구 영동대로	135798	6164	127.0571003	37.5129394
4697360	브라운백	음식	분식	라면김밥분식	서울특별시 강남구 일원동 716	서울특별시 강남구 광평로19길	135991	6355	127.0847863	37.48552169
5044092	CGV프라임신도림점2	음식	패스트푸드	패스트푸드	서울특별시 구로구 구로동 3-25	서울특별시 구로구 새말로	152725	8288	126.8902076	37.50703804
4726710	서브웨이	음식	패스트푸드	샌드위치전문점	서울특별시 서대문구 창천동 20-41	서울특별시 서대문구 신촌로	120833	3780	126.939278	37.55619932
5373379	광장휴게소	음식	분식	라면김밥분식	서울특별시 관악구 신림동 210	서울특별시 관악구 신림로	151015	8825	126.945497	37.46817767
5296553	코펜바인	음식	분식	라면김밥분식	서울특별시 용산구 이촌동 301-263	서울특별시 용산구 이촌로	140030	4425	126.9803078	37.51782484
2946582	빠빠맹	음식	제과제빵떡케익	제과점	서울특별시 영등포구 양평동3가 78-15	서울특별시 영등포구 선유로	150103	7218	126.8942865	37.53108907
2936303	브루브로스커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 마포구 서교동 368-30	서울특별시 마포구 잔다리로6길	121893	4042	126.9202346	37.55194498
3054213	그라찌에	음식	커피점/카페	커피전문점/카페/다방	서울특별시 영등포구 양평동5가 20-3	서울특별시 영등포구 양평로21다길	150105	7207	126.8915636	37.53771321
3198962	BHC치킨미래점	음식	닭/오리요리	후라이드/양념치킨	서울특별시 구로구 구로동 1267	서울특별시 구로구 새말로	152765	8288	126.8890886	37.50622559
3182203	간단하지만특별한화피디Cafe	음식	커피점/카페	커피전문점/카페/다방	서울특별시 금천구 가산동 60-73	서울특별시 금천구 벚꽃로	153788	8513	126.8857942	37.47674839
3128818	빈스앤베리즈	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 압구정동 494	서울특별시 강남구 압구정로	135902	6008	127.0400807	37.52849864
3113335	윤희네분식	음식	분식	라면김밥분식	서울특별시 관악구 봉천동 729-32	서울특별시 관악구 보라매로3길	151712	8708	126.9250567	37.4911685
3252812	미식가	음식	분식	라면김밥분식	서울특별시 서초구 방배동 817-35	서울특별시 서초구 방배로31길	137060	6563	126.9893443	37.49028528
3306830	그랜드아쿠아24&휘트니스	음식	분식	라면김밥분식	서울특별시 강서구 화곡동 1095	서울특별시 강서구 화곡로	157010	7649	126.8512794	37.55482629
3354620	소로앤노호	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 대치동 906-20	서울특별시 강남구 역삼로	135280	6197	127.0532176	37.501519
3907337	카페칼디	음식	커피점/카페	커피전문점/카페/다방	서울특별시 구로구 구로동 1258	서울특별시 구로구 경인로53길	152721	8217	126.8760995	37.50202099
3951722	마노핀	음식	커피점/카페	커피전문점/카페/다방	서울특별시 종로구 청진동 70	서울특별시 종로구 종로	110130	3159	126.9814178	37.57095102
3840328	두꺼비분식	음식	분식	라면김밥분식	서울특별시 서초구 서초동 1365-9	서울특별시 서초구 남부순환로	137070	6734	127.0313147	37.48455474
4077573	방이골목떡볶이	음식	분식	떡볶이전문	서울특별시 송파구 방이동 115	서울특별시 송파구 가락로33길	138050	5642	127.1142058	37.50966909
3976912	스마일머그커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 동대문구 휘경동 71-1	서울특별시 동대문구 망우로	130090	2436	127.0665817	37.59170338
4561634	커피나무	음식	커피점/카페	커피전문점/카페/다방	서울특별시 광진구 자양동 553-20	서울특별시 광진구 뚝섬로	143190	5085	127.0672719	37.5354564
4353746	농부와닭동네	음식	닭/오리요리	후라이드/양념치킨	서울특별시 영등포구 여의도동 21-4	서울특별시 영등포구 여의나루로	150875	7336	126.9307562	37.52604568
4704621	스타벅스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 동대문구 장안동 433-7	서울특별시 동대문구 장한로	130100	2644	127.0654766	37.56234757
4179302	그랑카페	음식	커피점/카페	커피전문점/카페/다방	서울특별시 종로구 청진동 70	서울특별시 종로구 종로	110130	3159	126.9814178	37.57095102
5336488	닥터주스팜	음식	분식	라면김밥분식	서울특별시 성북구 종암동 69-5	서울특별시 성북구 종암로19길	136861	2810	127.0337395	37.59815184
4878264	피자스쿨	음식	패스트푸드	피자전문	서울특별시 동대문구 회기동 76-1	서울특별시 동대문구 회기로	130872	2460	127.0550503	37.59023302
6652055	브레드에그	음식	제과제빵떡케익	제과점	서울특별시 광진구 군자동 363-4	서울특별시 광진구 군자로	143840	5004	127.0711471	37.55051648
6687058	밥&밥	음식	분식	라면김밥분식	서울특별시 강동구 성내동 595	서울특별시 강동구 올림픽로	134030	5391	127.121765	37.53254934
6738963	아람	음식	분식	국수/만두/칼국수	서울특별시 광진구 화양동 18-26	서울특별시 광진구 동일로30길	143916	5008	127.0702105	37.54756268
6660863	스타벅스커리학동사거리점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 논현동 93-2	서울특별시 강남구 도산대로	135010	6055	127.0379529	37.52239022
6648139	손스커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 영등포구 신길동 887	서울특별시 영등포구 여의대방로43길	150050	7360	126.921845	37.50612365
7071148	쿡	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서초구 양재동 291-23	서울특별시 서초구 동산로13길	137130	6781	127.0452545	37.47227864
6900889	국수솜씨	음식	분식	국수/만두/칼국수	서울특별시 서초구 방배동 1015	서울특별시 서초구 방배로	137755	6715	127.0024529	37.4764844
6913505	파스쿠찌	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서초구 서초동 1337-32	서울특별시 서초구 강남대로	137070	6627	127.0295709	37.4926139
7155897	빽다방	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 수서동 713	서울특별시 강남구 밤고개로1길	135539	6349	127.1018421	37.48801336
6886539	빈터커피로스터스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강동구 둔촌동 134-10	서울특별시 강동구 진황도로	134706	5370	127.1433125	37.52720215
7668150	치킨매니아화곡4동점	음식	닭/오리요리	후라이드/양념치킨	서울특별시 강서구 화곡동 781-10	서울특별시 강서구 곰달래로60길	157010	7786	126.8632522	37.53181258
8731719	삼삼치킨	음식	닭/오리요리	후라이드/양념치킨	서울특별시 동대문구 신설동 109-13	서울특별시 동대문구 청계천로	130813	2586	127.0238892	37.57199463
8696892	회화나무로스터스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서초구 우면동 687-2	서울특별시 서초구 성촌1길	137901	6765	127.0223886	37.4658203
8730433	엔제리너스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강북구 미아동 55-58	서울특별시 강북구 도봉로10나길	142804	1219	127.030937	37.61341049
8600424	Delibus	음식	분식	라면김밥분식	서울특별시 동작구 신대방동 425	서울특별시 동작구 보라매로5길	156707	7061	126.924318	37.49299992
8731937	엔제리너스강남역사거리점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 역삼동 824-19	서울특별시 강남구 테헤란로	135080	6233	127.030513	37.49846948
8649214	롯데리아	음식	패스트푸드	패스트푸드	서울특별시 마포구 망원동 377-2	서울특별시 마포구 월드컵로	121230	4012	126.9095099	37.55632458
8602689	밸런스버거	음식	패스트푸드	패스트푸드	서울특별시 성동구 사근동 110	서울특별시 성동구 왕십리로	133817	4763	127.0465947	37.55449264
8676475	한일	음식	커피점/카페	커피전문점/카페/다방	서울특별시 중구 충무로4가 29-3	서울특별시 중구 퇴계로41길	100863	4556	126.9955922	37.56241345
8605533	버거킹고대중앙광장점	음식	패스트푸드	패스트푸드	서울특별시 성북구 안암동5가 1-2	서울특별시 성북구 안암로	136701	2841	127.0317018	37.58848499
8605588	버거킹명일SK점	음식	패스트푸드	패스트푸드	서울특별시 강동구 명일동 305-51	서울특별시 강동구 고덕로	134070	5257	127.1439964	37.55447307
8589568	CAFE담쟁이107	음식	커피점/카페	커피전문점/카페/다방	서울특별시 노원구 중계동 363	서울특별시 노원구 한글비석로8길	139958	1738	127.0783449	37.64783152
8014785	엔제리너스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 광진구 자양동 227-7	서울특별시 광진구 아차산로	143730	5065	127.0729442	37.53699681
8625127	이승남의꽃과빵	음식	제과제빵떡케익	제과점	서울특별시 강남구 압구정동 455	서울특별시 강남구 압구정로29길	135788	6004	127.0291672	37.53252723
8602436	버거킹석촌점	음식	패스트푸드	패스트푸드	서울특별시 송파구 송파동 15-8	서울특별시 송파구 송파대로	138170	5625	127.10637	37.50659153
8626094	한스이촌점	음식	제과제빵떡케익	제과점	서울특별시 용산구 이촌동 301-160	서울특별시 용산구 이촌로	140723	4424	126.979951	37.51827228
8672793	환기미술관휴게실	음식	커피점/카페	커피전문점/카페/다방	서울특별시 종로구 부암동 210-8	서울특별시 종로구 자하문로40길	110817	3020	126.9660986	37.59408265
8622538	영양센터목동점	음식	닭/오리요리	후라이드/양념치킨	서울특별시 양천구 신정동 88-5	서울특별시 양천구 신목로	158070	8010	126.872387	37.52025873
8660654	로봇김밥우면동삼성R&D센터점	음식	분식	라면김밥분식	서울특별시 서초구 우면동 687-2	서울특별시 서초구 성촌1길	137901	6765	127.0223886	37.4658203
8130866	홈플러스베이커리보문점	음식	제과제빵떡케익	제과점	서울특별시 성북구 보문동7가 25-1	서울특별시 성북구 보문로	136087	2873	127.0214197	37.58076836
8590198	국수집	음식	분식	국수/만두/칼국수	서울특별시 서초구 반포동 1-8	서울특별시 서초구 신반포로	137765	6506	126.9999818	37.50495484
8612650	서원	음식	분식	라면김밥분식	서울특별시 용산구 이촌동 300-10	서울특별시 용산구 이촌로88길	140030	4425	126.9786984	37.51804521
8621095	이디야커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 종로구 연건동 195-11	서울특별시 종로구 대학로	110460	3127	127.0018734	37.57519845
8599689	르보땅	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강동구 암사동 495-4	서울특별시 강동구 올림픽로98길	134050	5262	127.1299167	37.54963061
8630169	17도씨	음식	분식	라면김밥분식	서울특별시 마포구 연남동 257-21	서울특별시 마포구 동교로29길	121865	3984	126.923053	37.56214345
8587116	59피자	음식	패스트푸드	패스트푸드	서울특별시 양천구 신정동 922-34	서울특별시 양천구 오목로	158070	7943	126.8542837	37.52491406
8646269	밥앤밥버거	음식	패스트푸드	패스트푸드	서울특별시 강남구 일원동 615-1	서울특별시 강남구 개포로110길	135946	6337	127.0803184	37.4911817
8606742	서울김밥	음식	분식	라면김밥분식	서울특별시 송파구 석촌동 273	서울특별시 송파구 가락로	138846	5696	127.1053477	37.50032142
8617931	이삭토스트화양점	음식	패스트푸드	패스트푸드	서울특별시 광진구 화양동 11-30	서울특별시 광진구 능동로13길	143914	5016	127.0706975	37.54298016
8611555	서브웨이	음식	분식	라면김밥분식	서울특별시 서대문구 충정로3가 465	서울특별시 서대문구 서소문로	120013	3741	126.9648455	37.5602737
8592638	궁가호떡	음식	분식	라면김밥분식	서울특별시 영등포구 영등포동1가 94-2	서울특별시 영등포구 경인로	150031	7308	126.9124566	37.5178683
8617672	예나	음식	닭/오리요리	후라이드/양념치킨	서울특별시 서대문구 충정로3가 28-1	서울특별시 서대문구 경기대로	120837	3751	126.9614212	37.56234305
8613400	신주	음식	패스트푸드	패스트푸드	서울특별시 종로구 종로5가 103	서울특별시 종로구 종로	110835	3129	127.0004874	37.57133027
8616690	신전떡볶이동대문신당점	음식	분식	떡볶이전문	서울특별시 중구 신당동 239-29	서울특별시 중구 다산로35길	100823	4611	127.0139284	37.56417188
8584946	3분분식	음식	분식	라면김밥분식	서울특별시 구로구 구로동 606-1	서울특별시 구로구 구로중앙로	152050	8216	126.8778923	37.50389418
8618091	이디야커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 영등포구 대림동 1052-45	서울특별시 영등포구 도림로31길	150070	7415	126.895907	37.49252155
8666054	홈런호프치킨	음식	닭/오리요리	후라이드/양념치킨	서울특별시 동작구 상도동 507-2	서울특별시 동작구 매봉로	156881	7027	126.9516347	37.50787854
8614463	이맛치킨	음식	닭/오리요리	후라이드/양념치킨	서울특별시 은평구 신사동 340-25	서울특별시 은평구 증산로15길	122080	3448	126.9107141	37.58943073
8601264	리틀크레이지피자	음식	패스트푸드	피자전문	서울특별시 서초구 반포동 1048	서울특별시 서초구 신반포로	137040	6548	126.9888424	37.5015081
8613849	이디야커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 용산구 한강로3가 40-999	서울특별시 용산구 한강대로21나길	140780	4377	126.9632226	37.52790298
8651085	새천년	음식	커피점/카페	커피전문점/카페/다방	서울특별시 영등포구 양평동2가 19-1	서울특별시 영등포구 영등포로	150102	7278	126.8838169	37.52300736
8728071	또래오래	음식	닭/오리요리	후라이드/양념치킨	서울특별시 강남구 대치동 916-17	서울특별시 강남구 삼성로71길	135280	6201	127.0559226	37.50136944
8730737	스타벅스가든파이브	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 문정동 628	서울특별시 송파구 충민로	138200	5840	127.1193706	37.47826065
8637747	테이블에이	음식	분식	라면김밥분식	서울특별시 마포구 창전동 436-7	서울특별시 마포구 와우산로	121882	4059	126.9258874	37.55314087
8622034	이도령치킨호프	음식	닭/오리요리	후라이드/양념치킨	서울특별시 동작구 대방동 502	서울특별시 동작구 노량진로	156760	6940	126.9302523	37.51300299
8690028	다운분식	음식	분식	라면김밥분식	서울특별시 성동구 응봉동 100	서울특별시 성동구 독서당로	133771	4741	127.0322123	37.55078946
8735684	스타벅스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 역삼동 677-25	서울특별시 강남구 테헤란로	135914	6142	127.0406526	37.50239076
8586780	3분식당	음식	분식	라면김밥분식	서울특별시 구로구 구로동 604-1	서울특별시 구로구 구로중앙로	152723	8216	126.8778923	37.50389418
8736083	스타벅스차병원사거리점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 논현동 235-11	서울특별시 강남구 봉은사로	135010	6109	127.0353547	37.50804228
8740295	고봉민김밥인	음식	분식	라면김밥분식	서울특별시 중랑구 신내동 656	서울특별시 중랑구 신내로	131788	2025	127.0951226	37.61460491
8709125	삼청동호떡	음식	제과제빵떡케익	제과점	서울특별시 종로구 화동 138-16	서울특별시 종로구 율곡로3길	110210	3061	126.9824716	37.57919562
8652490	달콤한닭강정	음식	닭/오리요리	후라이드/양념치킨	서울특별시 강북구 미아동 775-42	서울특별시 강북구 솔매로	142814	1168	127.0188152	37.62478052
8639700	테이블에이	음식	분식	라면김밥분식	서울특별시 마포구 동교동 188-27	서울특별시 마포구 와우산로32길	121899	4061	126.9313416	37.5547852
8687897	라떼킹	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강북구 수유동 567-6	서울특별시 강북구 419로	142070	1014	127.0096618	37.64697759
8495618	더치터치커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강서구 마곡동 793-6	서울특별시 강서구 강서로	157210	7794	126.8387893	37.56182226
8708088	엠케이치킨앤드호프	음식	닭/오리요리	후라이드/양념치킨	서울특별시 영등포구 대림동 777-1	서울특별시 영등포구 대림로31길	150764	7411	126.8946252	37.49586146
8697454	커피빈	음식	커피점/카페	커피전문점/카페/다방	서울특별시 종로구 동숭동 1-95	서울특별시 종로구 대학로12길	110809	3086	127.0036928	37.58139497
8587095	59피자상계7단지점	음식	패스트푸드	패스트푸드	서울특별시 노원구 상계동 581-6	서울특별시 노원구 상계로1길	139200	1693	127.0615181	37.65943933
8587128	59피자	음식	패스트푸드	피자전문	서울특별시 성동구 행당동 346	서울특별시 성동구 행당로	133777	4717	127.0287309	37.55656361
8879799	비오치킨	음식	닭/오리요리	후라이드/양념치킨	서울특별시 영등포구 도림동 195-1	서울특별시 영등포구 도영로	150832	7364	126.8993691	37.51166502
8917557	산들김밥	음식	분식	라면김밥분식	서울특별시 서초구 서초동 1580-6	서울특별시 서초구 사임당로	137070	6649	127.0124665	37.48792183
8791896	동키치킨	음식	닭/오리요리	후라이드/양념치킨	서울특별시 도봉구 쌍문동 45-6	서울특별시 도봉구 해등로	132030	1394	127.0368435	37.65776275
8921308	커피빈	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 삼성동 77-11	서울특별시 강남구 영동대로	135090	6087	127.0594668	37.51455313
8732182	스타벅스뱅뱅사거리점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 도곡동 946-14	서울특별시 강남구 강남대로	135270	6258	127.032473	37.48855591
8899526	카페인	음식	커피점/카페	커피전문점/카페/다방	서울특별시 마포구 도화동 353	서울특별시 마포구 새창로8길	121773	4180	126.9511127	37.53870769
8851295	디에즈코리아	음식	패스트푸드	패스트푸드	서울특별시 광진구 자양동 227-7	서울특별시 광진구 아차산로	143730	5065	127.0729816	37.53854692
8802422	피자스쿨	음식	패스트푸드	피자전문	서울특별시 동대문구 회기동 76-10	서울특별시 동대문구 회기로	130872	2460	127.0548344	37.59029437
8856731	도미노피자상암점	음식	패스트푸드	패스트푸드	서울특별시 마포구 상암동 34-46	서울특별시 마포구 월드컵북로	121830	3930	126.8946636	37.57604533
8899253	피자스쿨면목점	음식	패스트푸드	패스트푸드	서울특별시 중랑구 면목동 115-1	서울특별시 중랑구 겸재로	131200	2219	127.0874487	37.58817227
8764859	원산만두	음식	분식	국수/만두/칼국수	서울특별시 송파구 송파동 145-13	서울특별시 송파구 백제고분로46길	138170	5663	127.1151986	37.50701841
8774827	파파존스피자미아점	음식	패스트푸드	패스트푸드	서울특별시 강북구 미아동 304-1	서울특별시 강북구 도봉로	142812	1170	127.0259703	37.62599312
8893511	빵굼터	음식	제과제빵떡케익	제과점	서울특별시 동작구 동작동 104-1	서울특별시 동작구 동작대로45길	156080	6994	126.9815596	37.49729169
8899180	카페리노	음식	커피점/카페	커피전문점/카페/다방	서울특별시 노원구 하계동 354	서울특별시 노원구 동일로207길	139734	1775	127.059783	37.63794485
8635755	국수나무	음식	분식	국수/만두/칼국수	서울특별시 송파구 장지동 879	서울특별시 송파구 위례광장로	138926	5848	127.1393107	37.47962403
8610393	베네	음식	커피점/카페	커피전문점/카페/다방	서울특별시 성동구 금호동4가 575	서울특별시 성동구 독서당로	133809	4737	127.0214668	37.54774546
8566728	커피베이	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강서구 마곡동 776-4	서울특별시 강서구 강서로	157210	7791	126.8405683	37.56753426
8589977	COFFEEFARM	음식	커피점/카페	커피전문점/카페/다방	서울특별시 종로구 숭인동 65-12	서울특별시 종로구 지봉로	110550	3109	127.0158275	37.57554989
8588926	BHC치킨위례점	음식	닭/오리요리	후라이드/양념치킨	서울특별시 송파구 장지동 879	서울특별시 송파구 위례광장로	138926	5848	127.1393107	37.47962403
8632711	국수나무	음식	분식	국수/만두/칼국수	서울특별시 서대문구 충정로3가 465	서울특별시 서대문구 서소문로	120013	3741	126.9648455	37.5602737
8753149	둘리분식	음식	분식	라면김밥분식	서울특별시 중구 신당동 363-10	서울특별시 중구 동호로11길	100450	4599	127.0090463	37.55332747
8935219	엄마손한분식	음식	분식	라면김밥분식	서울특별시 노원구 상계동 1279	서울특별시 노원구 노원로28길	139895	1704	127.0689959	37.6541915
8867964	몽블랑제	음식	제과제빵떡케익	제과점	서울특별시 금천구 독산동 291-7	서울특별시 금천구 시흥대로	153010	8584	126.8968686	37.46865276
8902164	피자알볼로	음식	패스트푸드	피자전문	서울특별시 노원구 중계동 360-15	서울특별시 노원구 노원로22길	139790	1744	127.0758656	37.64855097
8883137	동희분식	음식	분식	라면김밥분식	서울특별시 은평구 응암동 603-14	서울특별시 은평구 응암로4길	122010	3478	126.917126	37.58687673
8798613	카페아네	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강동구 길동 244-2	서울특별시 강동구 진황도로49길	134815	5356	127.1407956	37.53456353
8886564	카페7그램	음식	커피점/카페	커피전문점/카페/다방	서울특별시 종로구 공평동 120-2	서울특별시 종로구 우정국로	110160	3158	126.9828339	37.57170208
8789085	빌리엔젤	음식	커피점/카페	커피전문점/카페/다방	서울특별시 용산구 한강로3가 40-999	서울특별시 용산구 한강대로21나길	140780	4377	126.9647243	37.5297633
8886641	카페느림	음식	커피점/카페	커피전문점/카페/다방	서울특별시 마포구 상수동 341-6	서울특별시 마포구 와우산로3길	121829	4074	126.92212	37.54597931
8891886	빙가	음식	분식	라면김밥분식	서울특별시 강북구 우이동 71-35	서울특별시 강북구 삼양로	142892	1009	127.0126211	37.65112912
8696922	커피빈코리아압구정에스점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 신사동 660-1	서울특별시 강남구 압구정로46길	135897	6018	127.0368931	37.52827446
8732314	스타벅스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 역삼동 678-39	서울특별시 강남구 테헤란로	135080	6141	127.0392228	37.50187455
8725994	스타벅스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 성북구 길음동 20-1	서울특별시 성북구 동소문로	136719	2730	127.0287256	37.60839154
8729351	스타벅스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 역삼동 809-10	서울특별시 강남구 강남대로	135080	6123	127.0255555	37.5031322
8736085	스타벅스경복아파트점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 역삼동 681	서울특별시 강남구 봉은사로	135080	6143	127.0403528	37.50902009
8901237	카페르메이에르	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 장지동 880-1	서울특별시 송파구 위례광장로	138926	5849	127.1427697	37.48167657
8723998	뉴코아가든파이브얌차	음식	분식	국수/만두/칼국수	서울특별시 송파구 문정동 634	서울특별시 송파구 충민로	138200	5838	127.124941	37.47760822
8619922	신전떡볶이	음식	분식	떡볶이전문	서울특별시 강북구 미아동 49-102	서울특별시 강북구 오패산로	142100	1222	127.034774	37.61186512
8727999	고려당분점	음식	제과제빵떡케익	제과점	서울특별시 중구 신당동 310-1	서울특별시 중구 다산로28가길	100450	4589	127.0141133	37.55958711
8716927	죠스떡볶이	음식	분식	라면김밥분식	서울특별시 구로구 개봉동 202-19	서울특별시 구로구 남부순환로97길	152090	8328	126.8585578	37.49386955
8816066	피자스쿨	음식	패스트푸드	피자전문	서울특별시 노원구 상계동 728-3	서울특별시 노원구 동일로	139200	1751	127.0614895	37.65270838
8762720	커피에비뉴	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 잠실동 19-9	서울특별시 송파구 올림픽로	138220	5501	127.084168	37.51208012
8729232	엔제리너스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 중구 명동1가 59-12	서울특별시 중구 명동3길	100021	4534	126.983684	37.56412263
8767350	커피마마	음식	커피점/카페	커피전문점/카페/다방	서울특별시 동대문구 전농동 1-205	서울특별시 동대문구 한천로	130020	2512	127.0685875	37.58249252
8810389	동대문엽기떡볶이	음식	분식	떡볶이전문	서울특별시 종로구 공평동 124	서울특별시 종로구 삼봉로	110160	3158	126.9826953	37.57190813
8853084	도미노피자신용산점	음식	패스트푸드	피자전문	서울특별시 용산구 한강로3가 65-426	서울특별시 용산구 서빙고로	140883	4388	126.9687186	37.52397748
8853088	도미노피자	음식	패스트푸드	패스트푸드	서울특별시 영등포구 영등포동 623-6	서울특별시 영등포구 영신로9길	150030	7368	126.9061671	37.5116651
8933198	네네치킨암사2점	음식	닭/오리요리	후라이드/양념치킨	서울특별시 강동구 암사동 103-1	서울특별시 강동구 올림픽로112길	134050	5207	127.1343926	37.56381906
8933200	네네치킨중곡2호점	음식	닭/오리요리	후라이드/양념치킨	서울특별시 광진구 중곡동 625-1	서울특별시 광진구 동일로64길	143220	4917	127.0753794	37.56062344
8768317	어쨌거나1MM	음식	커피점/카페	커피전문점/카페/다방	서울특별시 종로구 부암동 269-8	서울특별시 종로구 창의문로5길	110817	3022	126.9638143	37.5922245
8830191	충무칼국수	음식	분식	라면김밥분식	서울특별시 서초구 잠원동 45-14	서울특별시 서초구 신반포로43길	137906	6532	127.0174383	37.51063381
8782172	빵굽는쉐프	음식	제과제빵떡케익	제과점	서울특별시 노원구 하계동 284	서울특별시 노원구 공릉로	139937	1784	127.0680177	37.63815435
8879238	강정이기가막혀	음식	닭/오리요리	후라이드/양념치킨	서울특별시 송파구 송파동 111-28	서울특별시 송파구 송파대로42길	138170	5666	127.110159	37.50564698
8816617	우정죽	음식	분식	라면김밥분식	서울특별시 종로구 적선동 80	서울특별시 종로구 사직로	110756	3170	126.9733086	37.57535894
8926270	맥도날드	음식	패스트푸드	패스트푸드	서울특별시 성동구 성수동2가 333-16	서울특별시 성동구 뚝섬로	133120	4781	127.053479	37.53992399
8795038	남산떡집	음식	제과제빵떡케익	제과점	서울특별시 중구 신당동 432-716	서울특별시 중구 다산로	100450	4600	127.0073116	37.55015023
8904875	강정이기가막혀	음식	닭/오리요리	후라이드/양념치킨	서울특별시 성동구 성수동2가 573-7	서울특별시 성동구 성덕정길	133120	4777	127.0574793	37.53676627
8761802	하이꼬꼬	음식	닭/오리요리	후라이드/양념치킨	서울특별시 성동구 옥수동 560	서울특별시 성동구 독서당로40길	133100	4739	127.0178663	37.54184074
8811138	나임북카페	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 장지동 879	서울특별시 송파구 위례광장로	138926	5848	127.1393107	37.47962403
8773843	권석영의미스터짱닭치킨신대방2호점	음식	닭/오리요리	후라이드/양념치킨	서울특별시 동작구 신대방동 588-6	서울특별시 동작구 신대방길	156010	7068	126.9082959	37.49053725
8757880	위카페	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 장지동 880-1	서울특별시 송파구 위례광장로	138926	5849	127.1427697	37.48167657
8747745	코피발리	음식	커피점/카페	커피전문점/카페/다방	서울특별시 종로구 이화동 61-8	서울특별시 종로구 이화장1길	110500	3088	127.0046544	37.57719522
